Date        avg_close
2008/01/02 95.6925
2008/01/03 97.7750
2008/01/04 97.3400
2008/01/07 96.4388
2008/01/08 95.5662
2008/01/09 95.6275
2008/01/10 93.4225
2008/01/11 91.9138
2008/01/14 91.6800
2008/01/15 91.8912
2008/01/16 89.7350
2008/01/17 89.8825
2008/01/18 89.4925
2008/01/21 87.9588
2008/01/22 86.6950
2008/01/23 87.4625
2008/01/24 87.6112
2008/01/25 90.3662
2008/01/28 89.8550
2008/01/29 91.6738
2008/01/30 92.3250
2008/01/31 91.3537
2008/02/01 91.5700
2008/02/04 89.4613
2008/02/05 89.3262
2008/02/06 88.8163
2008/02/07 87.6513
2008/02/08 89.3613
2008/02/11 91.7375
2008/02/12 92.7700
2008/02/13 92.6025
2008/02/14 94.1275
2008/02/15 95.2525
2008/02/18 95.0913
2008/02/19 96.5287
2008/02/20 97.3400
2008/02/21 97.7700
2008/02/22 96.5787
2008/02/25 97.2275
2008/02/26 97.7850
2008/02/27 99.5413
2008/02/28 98.7413
2008/02/29 100.4263
2008/03/03 100.3713
2008/03/04 100.4262
2008/03/05 98.5763
2008/03/06 101.7200
2008/03/07 102.4488
2008/03/10 102.0750
2008/03/11 103.7350
2008/03/12 104.3163
2008/03/13 105.4638
2008/03/14 106.0775
2008/03/17 104.7075
2008/03/18 103.6975
2008/03/19 103.2388
2008/03/20 99.1488
2008/03/25 100.0537
2008/03/26 102.1237
2008/03/27 104.7675
2008/03/28 104.3050
2008/03/31 104.0587
2008/04/01 100.0000
2008/04/02 100.6138
2008/04/03 102.9600
2008/04/04 103.5175
2008/04/07 106.0612
2008/04/08 106.6363
2008/04/09 106.5550
2008/04/10 108.7838
2008/04/11 108.3037
2008/04/14 108.6512
2008/04/15 110.8575
2008/04/16 111.7213
2008/04/17 112.7825
2008/04/18 111.7638
2008/04/21 114.1287
2008/04/22 114.6762
2008/04/23 115.4700
2008/04/24 115.8000
2008/04/25 115.2950
2008/04/28 116.9100
2008/04/29 115.2388
2008/04/30 113.3800
2008/05/01 110.7437
2008/05/02 111.5050
2008/05/05 115.9350
2008/05/06 118.7588
2008/05/07 120.4737
2008/05/08 122.1813
2008/05/09 124.5237
2008/05/12 124.4675
2008/05/13 122.5312
2008/05/14 123.8487
2008/05/15 124.2363
2008/05/16 124.7050
2008/05/19 124.9662
2008/05/20 125.8575
2008/05/21 129.1037
2008/05/22 133.7412
2008/05/23 132.6738
2008/05/27 131.4538
2008/05/28 127.3300
2008/05/29 129.9425
2008/05/30 127.1900
2008/06/02 126.8200
2008/06/03 127.0825
2008/06/04 123.4437
2008/06/05 122.6063
2008/06/06 130.7325
2008/06/09 135.6700
2008/06/10 135.0700
2008/06/11 134.0175
2008/06/12 134.4138
2008/06/13 135.7388
2008/06/16 135.9375
2008/06/17 133.3488
2008/06/18 134.0175
2008/06/19 135.7225
2008/06/20 134.3813
2008/06/23 135.9962
2008/06/24 136.7850
2008/06/25 135.9337
2008/06/26 135.7863
2008/06/27 141.0838
2008/06/30 142.4875
2008/07/01 142.2750
2008/07/02 141.4712
2008/07/03 145.6737
2008/07/04 145.2862
2008/07/07 143.1150
2008/07/08 139.4512
2008/07/09 138.1537
2008/07/10 137.4500
2008/07/11 145.5938
2008/07/14 144.9837
2008/07/15 145.5700
2008/07/16 138.2588
2008/07/17 135.7762
2008/07/18 132.3625
2008/07/21 131.7500
2008/07/22 131.8125
2008/07/23 127.4787
2008/07/24 125.4288
2008/07/25 126.0700
2008/07/28 125.5488
2008/07/29 124.7675
2008/07/30 122.6100
2008/07/31 125.6413
2008/08/01 123.8838
2008/08/04 124.1725
2008/08/05 118.7575
2008/08/06 118.0725
2008/08/07 118.4300
2008/08/08 115.4800
2008/08/11 114.0863
2008/08/12 113.3625
2008/08/13 113.0075
2008/08/14 115.0563
2008/08/15 111.7962
2008/08/18 112.7300
2008/08/19 111.1650
2008/08/20 114.0937
2008/08/21 116.8563
2008/08/22 118.7363
2008/08/25 114.4287
2008/08/26 113.8837
2008/08/27 116.0100
2008/08/28 117.0925
2008/08/29 115.6763
2008/09/01 112.2887
2008/09/02 106.5987
2008/09/03 106.9025
2008/09/04 108.0563
2008/09/05 104.8025
2008/09/08 105.0562
2008/09/09 101.9987
2008/09/10 100.7250
2008/09/11 100.1863
2008/09/12 100.3313
2008/09/15 95.1188
2008/09/16 90.7375
2008/09/17 91.8512
2008/09/18 95.7587
2008/09/19 97.3600
2008/09/22 102.4762
2008/09/23 104.0638
2008/09/24 105.0025
2008/09/25 101.1588
2008/09/26 102.2725
2008/09/29 99.1900
2008/09/30 95.6562
2008/10/01 96.9925
2008/10/02 93.2225
2008/10/03 90.8650
2008/10/06 86.5025
2008/10/07 85.5900
2008/10/08 83.0312
2008/10/09 83.9213
2008/10/10 79.3713
2008/10/13 79.0225
2008/10/14 81.1300
2008/10/15 74.1600
2008/10/16 70.2400
2008/10/17 68.7188
2008/10/20 71.1913
2008/10/21 70.4975
2008/10/22 67.0688
2008/10/23 65.6463
2008/10/24 62.2400
2008/10/27 60.4675
2008/10/28 61.8713
2008/10/29 64.1287
2008/10/30 64.8950
2008/10/31 61.7187
2008/11/03 63.5913
2008/11/04 61.4575
2008/11/05 64.4450
2008/11/06 60.1637
2008/11/07 58.5437
2008/11/10 60.2350
2008/11/11 56.6663
2008/11/12 56.7225
2008/11/13 54.9675
2008/11/14 55.2612
2008/11/17 53.9475
2008/11/18 52.1113
2008/11/19 51.6425
2008/11/20 49.8513
2008/11/21 49.0850
2008/11/24 50.4888
2008/11/25 52.1700
2008/11/26 51.6475
2008/11/27 52.9680
2008/11/28 53.1550
2008/12/01 50.6800
2008/12/02 47.9212
2008/12/03 45.5913
2008/12/04 44.6012
2008/12/05 42.1562
2008/12/08 42.3063
2008/12/09 43.1387
2008/12/10 42.9013
2008/12/11 44.7162
2008/12/12 44.6900
2008/12/15 51.3187
2008/12/16 47.8113
2008/12/17 47.6600
2008/12/18 45.8375
2008/12/19 43.9600
2008/12/22 43.7100
2008/12/23 41.2963
2008/12/24 38.7463
2008/12/26 37.4212
2008/12/29 40.5625
2008/12/30 39.9363
2008/12/31 39.2600
