Date	Time	Close
2008/02/07	09:30	88.07
2008/02/07	10:30	87.99
2008/02/07	11:30	87.82
2008/02/07	12:30	87.72
2008/02/07	13:30	87.38
2008/02/07	14:30	86.98
2008/02/07	15:30	87.59
2008/02/07	16:00	87.66
2008/02/08	09:30	89.02
2008/02/08	10:30	89.26
2008/02/08	11:30	89.26
2008/02/08	12:30	89.04
2008/02/08	13:30	89.19
2008/02/08	14:30	89.54
2008/02/08	15:30	89.77
2008/02/08	16:00	89.81
2008/02/11	09:30	91.70
2008/02/11	10:30	91.82
2008/02/11	11:30	91.43
2008/02/11	12:30	91.81
2008/02/11	13:30	92.13
2008/02/11	14:30	91.59
2008/02/11	15:30	91.62
2008/02/11	16:00	91.80
2008/02/12	09:30	93.27
2008/02/12	10:30	92.82
2008/02/12	11:30	92.92
2008/02/12	12:30	91.99
2008/02/12	13:30	92.30
2008/02/12	14:30	92.53
2008/02/12	15:30	93.01
2008/02/12	16:00	93.32
2008/02/13	09:30	92.37
2008/02/13	10:30	92.93
2008/02/13	11:30	92.84
2008/02/13	12:30	92.90
2008/02/13	13:30	92.38
2008/02/13	14:30	92.34
2008/02/13	15:30	92.37
2008/02/13	16:00	92.69
2008/02/14	09:30	93.63
2008/02/14	10:30	93.54
2008/02/14	11:30	93.78
2008/02/14	12:30	94.07
2008/02/14	13:30	94.40
2008/02/14	14:30	94.22
2008/02/14	15:30	94.35
2008/02/14	16:00	95.03
2008/02/15	09:30	95.16
2008/02/15	10:30	95.35
2008/02/15	11:30	94.82
2008/02/15	12:30	94.77
2008/02/15	13:30	95.27
2008/02/15	14:30	95.56
2008/02/15	15:30	95.52
2008/02/15	16:00	95.57
2008/02/18	09:30	95.11
2008/02/18	10:30	95.00
2008/02/18	11:30	95.15
2008/02/18	12:30	95.08
2008/02/18	13:30	94.95
2008/02/18	14:30	95.04
2008/02/18	15:30	95.20
2008/02/18	16:00	95.20
2008/02/19	09:30	95.19
2008/02/19	10:30	96.50
2008/02/19	11:30	96.40
2008/02/19	12:30	96.37
2008/02/19	13:30	96.42
2008/02/19	14:30	97.32
2008/02/19	15:30	96.94
2008/02/19	16:00	97.09
2008/02/20	09:30	97.53
2008/02/20	10:30	97.25
2008/02/20	11:30	97.37
2008/02/20	12:30	97.38
2008/02/20	13:30	97.48
2008/02/20	14:30	97.14
2008/02/20	15:30	97.46
2008/02/20	16:00	97.11
2008/02/21	09:30	98.43
2008/02/21	10:30	97.85
2008/02/21	11:30	98.14
2008/02/21	12:30	97.86
2008/02/21	13:30	97.51
2008/02/21	14:30	97.56
2008/02/21	15:30	97.28
2008/02/21	16:00	97.53
2008/02/22	09:30	96.17
2008/02/22	10:30	96.60
2008/02/22	11:30	97.37
2008/02/22	12:30	96.87
2008/02/22	13:30	96.43
2008/02/22	14:30	97.04
2008/02/22	15:30	95.98
2008/02/22	16:00	96.17
2008/02/25	09:30	97.61
2008/02/25	10:30	97.46
2008/02/25	11:30	96.97
2008/02/25	12:30	97.00
2008/02/25	13:30	97.27
2008/02/25	14:30	97.03
2008/02/25	15:30	96.87
2008/02/25	16:00	97.61
2008/02/26	09:30	97.26
2008/02/26	10:30	97.39
2008/02/26	11:30	97.66
2008/02/26	12:30	97.96
2008/02/26	13:30	97.69
2008/02/26	14:30	97.62
2008/02/26	15:30	97.70
2008/02/26	16:00	99.00
2008/02/27	09:30	100.11
2008/02/27	10:30	99.73
2008/02/27	11:30	99.93
2008/02/27	12:30	99.75
2008/02/27	13:30	99.23
2008/02/27	14:30	99.28
2008/02/27	15:30	99.31
2008/02/27	16:00	98.99
2008/02/28	09:30	97.67
2008/02/28	10:30	97.99
2008/02/28	11:30	98.24
2008/02/28	12:30	98.82
2008/02/28	13:30	98.83
2008/02/28	14:30	99.45
2008/02/28	15:30	99.21
2008/02/28	16:00	99.72
2008/02/29	09:30	100.43
2008/02/29	10:30	100.35
2008/02/29	11:30	100.36
2008/02/29	12:30	100.68
2008/02/29	13:30	100.30
2008/02/29	14:30	100.43
2008/02/29	15:30	100.47
2008/02/29	16:00	100.39
2008/03/03	09:30	99.99
2008/03/03	10:30	99.58
2008/03/03	11:30	99.59
2008/03/03	12:30	99.46
2008/03/03	13:30	99.64
2008/03/03	14:30	101.41
2008/03/03	15:30	101.66
2008/03/03	16:00	101.64
2008/03/04	09:30	99.95
2008/03/04	10:30	100.10
2008/03/04	11:30	100.57
2008/03/04	12:30	101.05
2008/03/04	13:30	101.00
2008/03/04	14:30	100.99
2008/03/04	15:30	100.17
2008/03/04	16:00	99.58
2008/03/05	09:30	98.08
2008/03/05	10:30	98.30
2008/03/05	11:30	98.17
2008/03/05	12:30	97.98
2008/03/05	13:30	98.07
2008/03/05	14:30	99.11
2008/03/05	15:30	99.07
2008/03/05	16:00	99.83
2008/03/06	09:30	101.20
2008/03/06	10:30	101.73
2008/03/06	11:30	102.52
2008/03/06	12:30	102.04
2008/03/06	13:30	101.50
2008/03/06	14:30	101.15
2008/03/06	15:30	101.16
2008/03/06	16:00	102.46
2008/03/07	09:30	102.19
2008/03/07	10:30	102.05
2008/03/07	11:30	102.86
2008/03/07	12:30	102.58
2008/03/07	13:30	102.81
2008/03/07	14:30	102.33
2008/03/07	15:30	102.33
2008/03/07	16:00	102.44
2008/03/10	09:30	102.70
2008/03/10	10:30	102.04
2008/03/10	11:30	101.63
2008/03/10	12:30	101.64
2008/03/10	13:30	101.59
2008/03/10	14:30	101.60
2008/03/10	15:30	102.61
2008/03/10	16:00	102.79
2008/03/11	09:30	103.16
2008/03/11	10:30	103.97
2008/03/11	11:30	104.17
2008/03/11	12:30	104.74
2008/03/11	13:30	103.65
2008/03/11	14:30	102.57
2008/03/11	15:30	103.46
2008/03/11	16:00	104.16
2008/03/12	09:30	104.34
2008/03/12	10:30	104.50
2008/03/12	11:30	104.39
2008/03/12	12:30	104.13
2008/03/12	13:30	104.51
2008/03/12	14:30	104.28
2008/03/12	15:30	103.88
2008/03/12	16:00	104.50
2008/03/13	09:30	105.10
2008/03/13	10:30	104.75
2008/03/13	11:30	105.15
2008/03/13	12:30	105.56
2008/03/13	13:30	105.57
2008/03/13	14:30	105.87
2008/03/13	15:30	105.63
2008/03/13	16:00	106.08
2008/03/14	09:30	106.04
2008/03/14	10:30	106.38
2008/03/14	11:30	106.04
2008/03/14	12:30	106.35
2008/03/14	13:30	106.06
2008/03/14	14:30	106.64
2008/03/14	15:30	105.58
2008/03/14	16:00	105.53
2008/03/17	09:30	107.01
2008/03/17	10:30	106.80
2008/03/17	11:30	106.48
2008/03/17	12:30	105.62
2008/03/17	13:30	102.30
2008/03/17	14:30	102.88
2008/03/17	15:30	103.79
2008/03/17	16:00	102.78
2008/03/18	09:30	102.94
2008/03/18	10:30	103.41
2008/03/18	11:30	103.28
2008/03/18	12:30	104.30
2008/03/18	13:30	103.49
2008/03/18	14:30	103.93
2008/03/18	15:30	104.16
2008/03/18	16:00	104.07
2008/03/19	09:30	104.64
2008/03/19	10:30	104.33
2008/03/19	11:30	104.02
2008/03/19	12:30	103.64
2008/03/19	13:30	102.98
2008/03/19	14:30	102.90
2008/03/19	15:30	101.90
2008/03/19	16:00	101.50
2008/03/20	09:30	99.35
2008/03/20	10:30	99.38
2008/03/20	11:30	99.47
2008/03/20	12:30	98.43
2008/03/20	13:30	98.42
2008/03/20	14:30	99.27
2008/03/20	15:30	99.50
2008/03/20	16:00	99.37
2008/03/25	09:30	99.70
2008/03/25	10:30	99.49
2008/03/25	11:30	100.59
2008/03/25	12:30	100.63
2008/03/25	13:30	100.38
2008/03/25	14:30	99.64
2008/03/25	15:30	99.80
2008/03/25	16:00	100.20
2008/03/26	09:30	100.97
2008/03/26	10:30	101.70
2008/03/26	11:30	101.72
2008/03/26	12:30	101.59
2008/03/26	13:30	101.45
2008/03/26	14:30	102.23
2008/03/26	15:30	103.52
2008/03/26	16:00	103.81
2008/03/27	09:30	105.12
2008/03/27	10:30	104.86
2008/03/27	11:30	104.90
2008/03/27	12:30	104.72
2008/03/27	13:30	104.52
2008/03/27	14:30	104.45
2008/03/27	15:30	104.77
2008/03/27	16:00	104.80
2008/03/28	09:30	104.98
2008/03/28	10:30	105.20
2008/03/28	11:30	104.74
2008/03/28	12:30	104.38
2008/03/28	13:30	104.20
2008/03/28	14:30	103.90
2008/03/28	15:30	103.90
2008/03/28	16:00	103.14
2008/03/31	09:30	103.50
2008/03/31	10:30	103.77
2008/03/31	11:30	103.68
2008/03/31	12:30	103.63
2008/03/31	13:30	103.72
2008/03/31	14:30	104.28
2008/03/31	15:30	105.32
2008/03/31	16:00	104.57
2008/04/01	09:30	100.05
2008/04/01	10:30	100.68
2008/04/01	11:30	100.43
2008/04/01	12:30	100.43
2008/04/01	13:30	100.52
2008/04/01	14:30	99.17
2008/04/01	15:30	99.37
2008/04/01	16:00	99.35
2008/04/02	09:30	100.95
2008/04/02	10:30	101.17
2008/04/02	11:30	101.04
2008/04/02	12:30	100.91
2008/04/02	13:30	100.57
2008/04/02	14:30	100.00
2008/04/02	15:30	99.77
2008/04/02	16:00	100.50
2008/04/03	09:30	103.07
2008/04/03	10:30	102.86
2008/04/03	11:30	102.83
2008/04/03	12:30	102.41
2008/04/03	13:30	102.72
2008/04/03	14:30	102.32
2008/04/03	15:30	103.41
2008/04/03	16:00	104.06
2008/04/04	09:30	103.16
2008/04/04	10:30	103.23
2008/04/04	11:30	103.26
2008/04/04	12:30	103.36
2008/04/04	13:30	103.29
2008/04/04	14:30	103.94
2008/04/04	15:30	104.08
2008/04/04	16:00	103.82
2008/04/07	09:30	105.16
2008/04/07	10:30	105.37
2008/04/07	11:30	105.95
2008/04/07	12:30	105.60
2008/04/07	13:30	105.79
2008/04/07	14:30	106.49
2008/04/07	15:30	107.11
2008/04/07	16:00	107.02
2008/04/08	09:30	106.96
2008/04/08	10:30	106.63
2008/04/08	11:30	106.80
2008/04/08	12:30	106.73
2008/04/08	13:30	106.07
2008/04/08	14:30	106.70
2008/04/08	15:30	106.74
2008/04/08	16:00	106.46
2008/04/09	09:30	106.13
2008/04/09	10:30	106.55
2008/04/09	11:30	106.43
2008/04/09	12:30	105.92
2008/04/09	13:30	106.15
2008/04/09	14:30	106.20
2008/04/09	15:30	106.59
2008/04/09	16:00	108.47
2008/04/10	09:30	109.00
2008/04/10	10:30	109.25
2008/04/10	11:30	109.47
2008/04/10	12:30	109.15
2008/04/10	13:30	108.58
2008/04/10	14:30	108.91
2008/04/10	15:30	107.96
2008/04/10	16:00	107.95
2008/04/11	09:30	108.74
2008/04/11	10:30	108.69
2008/04/11	11:30	108.74
2008/04/11	12:30	108.20
2008/04/11	13:30	108.60
2008/04/11	14:30	107.76
2008/04/11	15:30	107.88
2008/04/11	16:00	107.82
2008/04/14	09:30	108.15
2008/04/14	10:30	108.04
2008/04/14	11:30	108.09
2008/04/14	12:30	108.47
2008/04/14	13:30	109.10
2008/04/14	14:30	108.80
2008/04/14	15:30	109.18
2008/04/14	16:00	109.38
2008/04/15	09:30	109.95
2008/04/15	10:30	109.87
2008/04/15	11:30	110.55
2008/04/15	12:30	110.70
2008/04/15	13:30	111.35
